,Name,Count(substitution),Count(pairwise),Count(pairwise with co-conservation),Rate
0,BA.1(Omicron),27,351.0,102,0.2905982905982906
1,BA.2(Omicron),28,378.0,141,0.373015873015873
2,BA.4(Omicron),29,406.0,149,0.3669950738916256
3,B.1.1.7(Alpha),7,21.0,3,0.14285714285714285
4,B.1.1.7+E484K,8,28.0,3,0.10714285714285714
5,B.1.427(Epsilon),4,6.0,1,0.16666666666666666
6,B.1.525(Eta),6,15.0,4,0.26666666666666666
7,P.3(Theta),7,21.0,3,0.14285714285714285
8,B.1.617.1(Kappa),5,10.0,1,0.1
9,B.1.620,9,36.0,6,0.16666666666666666
10,B.1.617.3,5,10.0,2,0.2
11,A.23.1+E484K,5,10.0,3,0.3
12,A.27,7,21.0,12,0.5714285714285714
13,A.28,2,1.0,0,0.0
14,C.16,2,1.0,0,0.0
15,B.1.351+P384L,8,28.0,11,0.39285714285714285
16,B.1.351+E516Q,8,28.0,13,0.4642857142857143
17,B.1.1.7+L452R,8,28.0,5,0.17857142857142858
18,B.1.1.7+S494P,8,28.0,3,0.10714285714285714
19,B.1.526(Iota),4,6.0,1,0.16666666666666666
20,P.2(Zeta),3,3.0,0,0.0
21,B.1.1.519,4,6.0,1,0.16666666666666666
22,AV.1,9,36.0,20,0.5555555555555556
23,AT.1,6,15.0,6,0.4
24,C.36+L452R,3,3.0,0,0.0
25,B.1.621(Mu),8,28.0,10,0.35714285714285715
26,C.37(Lambda),7,21.0,2,0.09523809523809523
27,AY.4.2,11,55.0,22,0.4
28,B.1.1.318,5,10.0,3,0.3
29,C.1.2,12,66.0,17,0.25757575757575757
30,B.1.351(Beta),7,21.0,8,0.38095238095238093
31,P.1(Gamma),12,66.0,18,0.2727272727272727
32,B.1.617.2(Delta),7,21.0,4,0.19047619047619047
